sentence,metaphorical_subsets,model_output
Your claims are indefensible.,['indefensible'],"- Your: NO (possessive pronoun, basic meaning is the same)
- claims: NO (noun, basic meaning is the same)
- are: NO (verb, basic meaning is the same)
- indefensible: YES (adjective, more basic meaning refers to something that cannot be defended physically)"
He attacked every weak point in my argument.,['attacked every weak point'],"- He: NO (pronoun, basic meaning is the same)
- attacked: YES (verb, more basic meaning refers to physical assault)
- every: NO (determiner, basic meaning is the same)
- weak: YES (adjective, more basic meaning refers to lacking physical strength)
- point: YES (noun, more basic meaning refers to a sharp or tapered end)
- in: NO (preposition, basic meaning is the same)
- my: NO (possessive pronoun, basic meaning is the same)
- argument: NO (noun, basic meaning is the same)"
His criticisms were right on target.,['right on target'],"- His: NO (possessive pronoun, basic meaning is the same)
- criticisms: NO (noun, basic meaning is the same)
- were: NO (verb, basic meaning is the same)
- right: YES (adjective, more basic meaning refers to direction or correctness)
- on: NO (preposition, basic meaning is the same)
- target: YES (noun, more basic meaning refers to a goal or object to aim at)"
I demolished his argument.,['demolished'],"- I: NO
- demolished: YES
- his: NO
- argument: NO"
I've never won an argument with him.,['won'],"- I've: NO (contraction, basic meaning is the same)
- never: NO (adverb, basic meaning is the same)
- won: YES (verb, more basic meaning refers to achieving victory in a competition or game)
- an: NO (indefinite article, basic meaning is the same)
- argument: NO (noun, basic meaning is the same)
- with: NO (preposition, basic meaning is the same)
- him: NO (pronoun, basic meaning is the same)"
"If you use that strategy, he'll wipe you out.","['strategy', 'wipe you out']","- If: NO (conjunction, basic meaning is the same)
- you: NO (pronoun, basic meaning is the same)
- use: NO (verb, basic meaning is the same)
- that: NO (demonstrative pronoun, basic meaning is the same)
- strategy: NO (noun, basic meaning is the same)
- he'll: NO (contraction of ""he will,"" basic meaning is the same)
- wipe: YES (verb, more basic meaning refers to cleaning or removing dirt)
- you: NO (pronoun, basic meaning is the same)
- out: NO (adverb, basic meaning is the same)"
He shot down all of my arguments.,['shot down'],"- He: NO (pronoun, basic meaning is the same)
- shot: YES (verb, more basic meaning refers to firing a gun or weapon)
- down: YES (adverb, more basic meaning refers to a lower position)
- all: NO (determiner, basic meaning is the same)
- of: NO (preposition, basic meaning is the same)
- my: NO (possessive pronoun, basic meaning is the same)
- arguments: NO (noun, basic meaning is the same)"
You're wasting my time.,['wasting'],"- You're: NO (contraction, basic meaning is the same)
- wasting: YES (verb, more basic meaning refers to using something carelessly or extravagantly)
- my: NO (possessive pronoun, basic meaning is the same)
- time: NO (noun, basic meaning is the same)"
This gadget will save you hours.,['save'],"- This: NO (demonstrative pronoun, basic meaning is the same)
- gadget: NO (noun, basic meaning is the same)
- will: NO (auxiliary verb, basic meaning is the same)
- save: YES (verb, more basic meaning refers to keeping something safe)
- you: NO (pronoun, basic meaning is the same)
- hours: NO (noun, basic meaning is the same)"
I don't have the time to give you.,"['have', 'give']","- I: NO (pronoun, basic meaning is the same)
- don't: NO (contraction of do not, basic meaning is the same)
- have: NO (verb, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- time: NO (noun, basic meaning is the same)
- to: NO (preposition, basic meaning is the same)
- give: YES (verb, more basic meaning refers to physically handing something over)
- you: NO (pronoun, basic meaning is the same)"
How do you spend your time these days?,['spend'],"- How: NO (adverb, basic meaning is the same)
- do: NO (verb, basic meaning is the same)
- you: NO (pronoun, basic meaning is the same)
- spend: YES (verb, more basic meaning refers to using money)
- your: NO (possessive pronoun, basic meaning is the same)
- time: NO (noun, basic meaning is the same)
- these: NO (determiner, basic meaning is the same)
- days: NO (noun, basic meaning is the same)"
That flat tire cost me an hour.,['cost'],"- That: NO (demonstrative pronoun, basic meaning is the same)
- flat: YES (adjective, more basic meaning refers to a level surface)
- tire: YES (noun, more basic meaning refers to a rubber covering for a wheel)
- cost: NO (verb, basic meaning is the same)
- me: NO (pronoun, basic meaning is the same)
- an: NO (indefinite article, basic meaning is the same)
- hour: YES (noun, more basic meaning refers to a unit of time)"
I've invested a lot of time in her.,['invested'],"- I've: NO (contraction, basic meaning is the same)
- invested: YES (verb, more basic meaning refers to putting money into something for profit)
- a: NO (article, basic meaning is the same)
- lot: NO (noun, basic meaning is the same)
- of: NO (preposition, basic meaning is the same)
- time: NO (noun, basic meaning is the same)
- in: NO (preposition, basic meaning is the same)
- her: NO (pronoun, basic meaning is the same)"
I don't have enough time to spare for that.,"['have enough', 'spare']","- I: NO (pronoun, basic meaning is the same)
- don't: NO (contraction of do not, basic meaning is the same)
- have: NO (verb, basic meaning is the same)
- enough: NO (adjective, basic meaning is the same)
- time: NO (noun, basic meaning is the same)
- to: NO (preposition, basic meaning is the same)
- spare: YES (verb, more basic meaning refers to giving something extra or not in use)"
You're running out of time.,['running out'],"- You're: NO (contraction, basic meaning is the same)
- running: YES (verb, more basic meaning refers to moving fast on foot)
- out: NO (adverb, basic meaning is the same)
- of: NO (preposition, basic meaning is the same)
- time: NO (noun, basic meaning is the same)"
You need to budget your time.,['budget'],"- You: NO (pronoun, basic meaning is the same)
- need: NO (verb, basic meaning is the same)
- to: NO (preposition, basic meaning is the same)
- budget: YES (verb, more basic meaning refers to planning and managing finances)
- your: NO (possessive pronoun, basic meaning is the same)
- time: NO (noun, basic meaning is the same)"
