sentence,metaphorical_subsets,model_output
Your claims are indefensible.,['indefensible'],"- Your: NO (possessive pronoun, basic meaning is the same)
- claims: YES (noun, more basic meaning refers to stating something as a fact, often legally)
- are: NO (verb, basic meaning is the same)
- indefensible: YES (adjective, more basic meaning refers to something that cannot be defended physically)"
He attacked every weak point in my argument.,['attacked every weak point'],"- He: NO (pronoun, basic meaning is the same)
- attacked: YES (verb, more basic meaning refers to physically assaulting)
- every: NO (determiner, basic meaning is the same)
- weak: NO (adjective, basic meaning is the same)
- point: YES (noun, more basic meaning refers to the sharp tip of an object)
- in: NO (preposition, basic meaning is the same)
- my: NO (possessive pronoun, basic meaning is the same)
- argument: NO (noun, basic meaning is the same)"
His criticisms were right on target.,['right on target'],"- His: NO (possessive pronoun, basic meaning is the same)
- criticisms: NO (noun, basic meaning is the same)
- were: NO (verb, basic meaning is the same)
- right: YES (adjective, more basic meaning refers to correctness or direction)
- on: NO (preposition, basic meaning is the same)
- target: NO (noun, basic meaning is the same)"
I demolished his argument.,['demolished'],"Here is the analysis for each word in the text ""I demolished his argument."":

- I: NO (pronoun, basic meaning is the same)
- demolished: YES (verb, more basic meaning refers to physically destroying something, like a building)
- his: NO (possessive pronoun, basic meaning is the same)
- argument: NO (noun, basic meaning refers to a discussion involving differing points of view, which is the same in this context)"
I've never won an argument with him.,['won'],"- I've: NO (contraction of ""I have"", basic meaning is the same)
- never: NO (adverb, basic meaning is the same)
- won: YES (verb, more basic meaning refers to winning a game or competition)
- an: NO (indefinite article, basic meaning is the same)
- argument: NO (noun, basic meaning is the same)
- with: NO (preposition, basic meaning is the same)
- him: NO (pronoun, basic meaning is the same)"
"If you use that strategy, he'll wipe you out.","['strategy', 'wipe you out']","""If: NO (conjunction, basic meaning is the same)
- you: NO (pronoun, basic meaning is the same)
- use: NO (verb, basic meaning is the same)
- that: NO (demonstrative pronoun, basic meaning is the same)
- strategy: NO (noun, basic meaning is the same)
- he'll: NO (contraction of he will, basic meaning is the same)
- wipe: YES (verb, more basic meaning refers to cleaning or rubbing a surface)
- you: NO (pronoun, basic meaning is the same)
- out: YES (adverb, more basic meaning refers to moving from inside to outside)"
He shot down all of my arguments.,['shot down'],"- He: NO (pronoun, basic meaning is the same)
- shot: YES (verb, more basic meaning refers to firing a gun)
- down: NO (preposition, basic meaning is the same)
- all: NO (adjective, basic meaning is the same)
- of: NO (preposition, basic meaning is the same)
- my: NO (possessive pronoun, basic meaning is the same)
- arguments: NO (noun, basic meaning is the same)"
You're wasting my time.,['wasting'],"- You're: NO (contraction of ""you are"", basic meaning is the same)
- wasting: YES (verb, more basic meaning refers to squandering resources or decaying)
- my: NO (possessive pronoun, basic meaning is the same)
- time: NO (noun, basic meaning is the same)"
This gadget will save you hours.,['save'],"- This: NO (demonstrative pronoun, basic meaning is the same)
- gadget: NO (noun, basic meaning is the same)
- will: NO (auxiliary verb, basic meaning is the same)
- save: YES (verb, more basic meaning refers to rescuing from harm)
- you: NO (pronoun, basic meaning is the same)
- hours: NO (noun, basic meaning is the same)"
I don't have the time to give you.,"['have', 'give']","- I: NO (pronoun, basic meaning is the same)
- don't: NO (contraction of do not, basic meaning is the same)
- have: NO (verb, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- time: NO (noun, basic meaning is the same)
- to: NO (preposition, basic meaning is the same)
- give: NO (verb, basic meaning is the same)
- you: NO (pronoun, basic meaning is the same)"
How do you spend your time these days?,['spend'],"- How: NO (adverb, basic meaning is the same)
- do: NO (auxiliary verb, basic meaning is the same)
- you: NO (pronoun, basic meaning is the same)
- spend: YES (verb, more basic meaning refers to paying out money)
- your: NO (possessive pronoun, basic meaning is the same)
- time: NO (noun, basic meaning is the same)
- these: NO (demonstrative pronoun, basic meaning is the same)
- days: NO (noun, basic meaning is the same)"
That flat tire cost me an hour.,['cost'],"- That: NO (demonstrative pronoun, basic meaning is the same)
- flat: NO (adjective, basic meaning refers to being level or smooth)
- tire: NO (noun, basic meaning refers to the rubber covering on a wheel)
- cost: NO (verb, basic meaning refers to require payment or expenditure)
- me: NO (pronoun, basic meaning is the same)
- an: NO (indefinite article, basic meaning is the same)
- hour: NO (noun, basic meaning refers to a period of time equal to 60 minutes)"
I've invested a lot of time in her.,['invested'],"- I've: NO (contraction of ""I have"", basic meaning is the same)
- invested: YES (verb, more basic meaning refers to allocating money or capital in a financial context)
- a: NO (indefinite article, basic meaning is the same)
- lot: NO (noun, basic meaning is the same)
- of: NO (preposition, basic meaning is the same)
- time: NO (noun, basic meaning is the same)
- in: NO (preposition, basic meaning is the same)
- her: NO (pronoun, basic meaning is the same)"
