sentence,metaphorical_subsets,model_output
Your claims are indefensible.,['indefensible'],"- Your: NO (possessive pronoun, basic meaning is the same)
- claims: YES (noun, more basic meaning refers to demands or assertions of ownership)
- are: NO (verb, basic meaning is the same)
- indefensible: YES (adjective, more basic meaning refers to something that cannot be defended physically)"
He attacked every weak point in my argument.,['attacked every weak point'],"- He: NO (pronoun, basic meaning is the same)
- attacked: YES (verb, more basic meaning refers to a physical assault)
- every: NO (determiner, basic meaning is the same)
- weak: YES (adjective, more basic meaning refers to physical strength)
- point: YES (noun, more basic meaning refers to a specific location or a sharp end)
- in: NO (preposition, basic meaning is the same)
- my: NO (possessive pronoun, basic meaning is the same)
- argument: NO (noun, basic meaning is the same)"
His criticisms were right on target.,['right on target'],"- His: NO (possessive pronoun, basic meaning is the same)
- criticisms: NO (noun, basic meaning is the same)
- were: NO (verb, basic meaning is the same)
- right: YES (adjective, more basic meaning refers to direction or correctness)
- on: NO (preposition, basic meaning is the same)
- target: YES (noun, more basic meaning refers to an object aimed at in shooting or archery)"
I demolished his argument.,['demolished'],"- I: NO (pronoun, basic meaning is the same)
- demolished: YES (verb, more basic meaning refers to destroying a building)
- his: NO (possessive pronoun, basic meaning is the same)
- argument: NO (noun, basic meaning is the same)"
I've never won an argument with him.,['won'],"""I've never won an argument with him.""
- I: NO (pronoun, basic meaning is the same)
- 've: NO (contraction of ""have"", basic meaning is the same)
- never: NO (adverb, basic meaning is the same)
- won: YES (verb, more basic meaning refers to achieving victory in a contest or competition)
- an: NO (indefinite article, basic meaning is the same)
- argument: NO (noun, basic meaning is the same)
- with: NO (preposition, basic meaning is the same)
- him: NO (pronoun, basic meaning is the same)"
"If you use that strategy, he'll wipe you out.","['strategy', 'wipe you out']","Sure, let's analyze the text ""If you use that strategy, he'll wipe you out.""

- If: NO (conjunction, basic meaning is the same)
- you: NO (pronoun, basic meaning is the same)
- use: NO (verb, basic meaning is the same)
- that: NO (demonstrative pronoun, basic meaning is the same)
- strategy: YES (noun, more basic meaning refers to a plan of action in a specific context, such as military or games)
- he'll: NO (contraction of ""he will,"" basic meaning is the same)
- wipe: YES (verb, more basic meaning refers to cleaning or removing something from a surface)
- you: NO (pronoun, basic meaning is the same)
- out: YES (adverb, more basic meaning refers to a direction or location outside)"
He shot down all of my arguments.,['shot down'],"- He: NO (pronoun, basic meaning is the same)
- shot: YES (verb, more basic meaning refers to firing a projectile from a gun)
- down: YES (adverb, more basic meaning refers to a direction towards a lower position)
- all: NO (determiner, basic meaning is the same)
- of: NO (preposition, basic meaning is the same)
- my: NO (possessive pronoun, basic meaning is the same)
- arguments: NO (noun, basic meaning is the same)"
You're wasting my time.,['wasting'],"- You: NO (pronoun, basic meaning is the same)
- are: NO (verb, basic meaning is the same)
- wasting: YES (verb, more basic meaning refers to using something carelessly or without purpose, often related to physical resources)
- my: NO (possessive pronoun, basic meaning is the same)
- time: YES (noun, more basic meaning refers to the measurable period during which an action, process, or condition exists or continues)"
This gadget will save you hours.,['save'],"- This: NO (demonstrative pronoun, basic meaning is the same)
- gadget: NO (noun, basic meaning is the same)
- will: NO (auxiliary verb, basic meaning is the same)
- save: YES (verb, more basic meaning refers to rescuing or keeping safe)
- you: NO (pronoun, basic meaning is the same)
- hours: NO (noun, basic meaning is the same)"
I don't have the time to give you.,"['have', 'give']","""I don't have the time to give you.""

- I: NO (pronoun, basic meaning is the same)
- don't: NO (contraction of ""do not,"" basic meaning is the same)
- have: NO (verb, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- time: YES (noun, more basic meaning refers to the measurable period during which an action, process, or condition exists or continues)
- to: NO (preposition, basic meaning is the same)
- give: NO (verb, basic meaning is the same)
- you: NO (pronoun, basic meaning is the same)"
How do you spend your time these days?,['spend'],"- How: NO (adverb, basic meaning is the same)
- do: NO (verb, basic meaning is the same)
- you: NO (pronoun, basic meaning is the same)
- spend: YES (verb, more basic meaning refers to using money)
- your: NO (possessive pronoun, basic meaning is the same)
- time: NO (noun, basic meaning is the same)
- these: NO (demonstrative pronoun, basic meaning is the same)
- days: NO (noun, basic meaning is the same)"
That flat tire cost me an hour.,['cost'],"""That flat tire cost me an hour.""
- That: NO (demonstrative pronoun, basic meaning is the same)
- flat: YES (adjective, more basic meaning refers to a smooth, even surface)
- tire: NO (noun, basic meaning is the same)
- cost: YES (verb, more basic meaning refers to the price of something in terms of money)
- me: NO (pronoun, basic meaning is the same)
- an: NO (indefinite article, basic meaning is the same)
- hour: NO (noun, basic meaning is the same)"
