metaphor_category,sentence,metaphorical_subsets,model_output,L&J Metaphor(s) – Identified,L&J Metaphor(s) – Correct Basic Meanings,Additional Annotations,Additional Annotations – Metaphorical,Additional Annotations – Correct Basic Meanings
personification,His religion tells him that he cannot drink fine French wines.,['religion tells'],"- His: NO (possessive pronoun, basic meaning is the same)
- religion: NO (noun, basic meaning is the same)
- tells: YES (verb, more basic meaning refers to communicating information directly)
- him: NO (pronoun, basic meaning is the same)
- that: NO (conjunction, basic meaning is the same)
- he: NO (pronoun, basic meaning is the same)
- cannot: NO (modal verb, basic meaning is the same)
- drink: NO (verb, basic meaning is the same)
- fine: YES (adjective, more basic meaning refers to being of high quality or thin)
- French: NO (adjective, basic meaning is the same)
- wines: NO (noun, basic meaning is the same)",1,0,1,1.0,0.0
understanding-is-seeing,"Shallow arguments are practically worthless, since they don't show us very much.","['Shallow', 'show']","""Shallow arguments are practically worthless, since they don't show us very much.""

- Shallow: YES (adjective, more basic meaning refers to a small depth, like shallow water)
- arguments: NO (noun, basic meaning is the same)
- are: NO (verb, basic meaning is the same)
- practically: YES (adverb, more basic meaning refers to being practical or useful)
- worthless: NO (adjective, basic meaning is the same)
- since: NO (conjunction, basic meaning is the same)
- they: NO (pronoun, basic meaning is the same)
- don't: NO (contraction of ""do not,"" basic meaning is the same)
- show: NO (verb, basic meaning is the same)
- us: NO (pronoun, basic meaning is the same)
- very: NO (adverb, basic meaning is the same)
- much: NO (adjective/adverb, basic meaning is the same)",0,0,1,0.0,0.0
birth metaphors,He conceived a brilliant theory of molecular motion.,['conceived'],"- He: NO (pronoun, basic meaning is the same)
- conceived: YES (verb, more basic meaning refers to becoming pregnant or forming an idea in a more general sense)
- a: NO (article, basic meaning is the same)
- brilliant: YES (adjective, more basic meaning refers to something very bright or shining)
- theory: NO (noun, basic meaning is the same)
- of: NO (preposition, basic meaning is the same)
- molecular: NO (adjective, basic meaning is the same)
- motion: NO (noun, basic meaning is the same)",1,1,0,,
birth metaphors,Universities are incubators for new ideas.,['incubators'],"""Universities are incubators for new ideas.""

- Universities: NO (noun, basic meaning is the same)
- are: NO (verb, basic meaning is the same)
- incubators: YES (noun, more basic meaning refers to a device used to keep eggs warm until they hatch)
- for: NO (preposition, basic meaning is the same)
- new: NO (adjective, basic meaning is the same)
- ideas: NO (noun, basic meaning is the same)",1,1,0,,
the-place-for-the-institution,Hollywood isn't what it used to be.,['Hollywood'],"- Hollywood: YES (noun, more basic meaning refers to the district in Los Angeles known for the film industry)
- isn't: NO (contraction of ""is not,"" basic meaning is the same)
- what: NO (pronoun, basic meaning is the same)
- it: NO (pronoun, basic meaning is the same)
- used: YES (verb, more basic meaning refers to the act of utilizing something)
- to: NO (preposition, basic meaning is the same)
- be: NO (verb, basic meaning is the same)",1,1,1,0.0,0.0
theories-(and-arguments)-are-buildings,They exploded his latest theory.,['exploded'],"""They exploded his latest theory.""
- They: NO (pronoun, basic meaning is the same)
- exploded: YES (verb, more basic meaning refers to a physical explosion)
- his: NO (possessive pronoun, basic meaning is the same)
- latest: NO (adjective, basic meaning is the same)
- theory: NO (noun, basic meaning is the same)",1,1,0,,
the-mind-is-an-object,You have to handle him with care since his wife's death.,['handle him with care'],"- You: NO (pronoun, basic meaning is the same)
- have: NO (verb, basic meaning is the same)
- to: NO (preposition, basic meaning is the same)
- handle: YES (verb, more basic meaning refers to physically touching or managing something)
- him: NO (pronoun, basic meaning is the same)
- with: NO (preposition, basic meaning is the same)
- care: YES (noun, more basic meaning refers to the provision of what is necessary for the health, welfare, maintenance, and protection of someone or something)
- since: NO (preposition, basic meaning is the same)
- his: NO (possessive pronoun, basic meaning is the same)
- wife's: NO (possessive noun, basic meaning is the same)
- death: NO (noun, basic meaning is the same)",1,1,1,0.0,1.0
producer-for-product,I hate to read Heidegger.,['Heidegger'],"- I: NO (pronoun, basic meaning is the same)
- hate: NO (verb, basic meaning is the same)
- to: NO (preposition, basic meaning is the same)
- read: NO (verb, basic meaning is the same)
- Heidegger: YES (proper noun, more basic meaning refers to the person Martin Heidegger, a German philosopher, rather than his works)",1,1,0,,
the-mind-is-a-machine,We're still trying to grind out the solution to this equation.,['grind out'],"""We're still trying to grind out the solution to this equation.""

- We: NO (pronoun, basic meaning is the same)
- 're: NO (contraction of ""are"", basic meaning is the same)
- still: NO (adverb, basic meaning is the same)
- trying: NO (verb, basic meaning is the same)
- to: NO (preposition, basic meaning is the same)
- grind: YES (verb, more basic meaning refers to crushing or pulverizing something)
- out: NO (adverb, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- solution: YES (noun, more basic meaning refers to a liquid mixture)
- to: NO (preposition, basic meaning is the same)
- this: NO (demonstrative pronoun, basic meaning is the same)
- equation: NO (noun, basic meaning is the same)",1,1,1,1.0,1.0
health-and-life-are-up;-sickness-and-death-are-down,He's in top shape.,['top'],"- He's: NO (contraction of ""he is,"" basic meaning is the same)
- in: NO (preposition, basic meaning is the same)
- top: YES (adjective, more basic meaning refers to the highest point or part of something)
- shape: YES (noun, more basic meaning refers to the physical form or outline of an object)",1,1,0,,
